N_AZAR,N1,N2,N3,N4,N5
1,0.17,0.31,0.53,0.68,0.83
2,0.11,0.31,0.48,0.72,0.9
3,0.12,0.3,0.47,0.7,0.88
4,0.12,0.29,0.55,0.7,0.92
5,0.13,0.3,0.5,0.69,0.96
6,0.15,0.33,0.52,0.69,0.89
7,0.04,0.34,0.5,0.72,0.9
8,0.1,0.31,0.5,0.71,0.89
9,0.08,0.25,0.45,0.74,0.85
10,0.07,0.26,0.49,0.73,0.9
11,0.09,0.29,0.49,0.66,0.88
12,0.12,0.34,0.46,0.74,0.95
13,0.11,0.26,0.51,0.61,0.9
14,0.1,0.24,0.49,0.69,0.88
15,0.09,0.32,0.54,0.7,0.9
16,0.02,0.32,0.51,0.67,0.88
17,0.12,0.35,0.5,0.7,0.87
18,0.11,0.29,0.48,0.74,0.95
19,0.1,0.32,0.48,0.77,0.88
20,0.13,0.31,0.45,0.68,0.88
21,0.13,0.28,0.46,0.68,0.88
22,0.06,0.31,0.43,0.71,0.81
23,0.1,0.31,0.46,0.74,0.89
24,0.11,0.3,0.5,0.75,0.88
25,0.09,0.3,0.48,0.66,0.94
26,0.13,0.29,0.49,0.75,0.86
27,0.1,0.24,0.45,0.72,0.87
28,0.15,0.33,0.47,0.68,0.89
29,0.15,0.23,0.52,0.75,0.9
30,0.14,0.3,0.5,0.73,0.87
31,0.02,0.22,0.49,0.69,0.93
